Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
ABC15 Arizona in Phoenix (KNXV),https://www.abc15.com/,Phoenix,AZ,Unknown,pickleball; basketball; volleyball,Indoor,6,"ity, its new indoor facility is set to “accommodate” four full-size basketball courts, or six volleyball courts, or 12 pickleball courts. The space can be divided into four... Jul 21, 2026 · The city o",,,,,,,,,,,,abc15.com,Confirmed Indoor,Indoor court language found on site. AZ location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.abc15.com/ | https://www.abc15.com/weather/contact | https://www.abc15.com/about-us/contests | https://www.abc15.com/news/investigators/contact | https://www.abc15.com/contact-let-abc15-know | https://www.abc15.com/sonoranliving/contact | https://www.abc15.com/about/contact-us,Playwright,https://abc15.com,https://www.abc15.com/,
Aces volleyball club,https://azacesvolleyball.com/,Peoria,AZ,Health Club,volleyball,Indoor,,,Miranda,Herrera,Club Director,miranda@azacesvolleyball.com,info@azacesvolleyball.com,,,,,,,azacesvolleyball.com,Confirmed Indoor,Indoor court language found on site. AZ location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://azacesvolleyball.com/ | https://azacesvolleyball.com/reg | https://azacesvolleyball.com/staff | https://azacesvolleyball.com/contact-us,Playwright,https://azacesvolleyball.com,https://azacesvolleyball.com/,
Ak-Chin Recreation Center,https://ak-chin-recreation.edan.io/,Maricopa,AZ,Health Club,basketball,Indoor,,,,,,,,,,,,,,ak-chin-recreation.edan.io,Confirmed Indoor,Indoor court language found on site. AZ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank.,https://ak-chin-recreation.edan.io/,Playwright,https://ak-chin-recreation.edan.io,https://ak-chin-recreation.edan.io/,
ALLSPORTSTUCSON.com | Southern Arizona Sports Coverage,https://allsportstucson.com/,Tucson,AZ,College / University,tennis; basketball; volleyball,Indoor,,,,,,,,,,,,,,allsportstucson.com,Confirmed Indoor,Indoor court language found on site. AZ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://allsportstucson.com/ | https://allsportstucson.com/about | https://allsportstucson.com/about/advertise-with-us | https://allsportstucson.com/about/our-sponsors | https://allsportstucson.com/about/sports-writers | https://allsportstucson.com/about/sports-writers/andy-morales | https://allsportstucson.com/about/sports-writers/javier-morales,Playwright,https://allsportstucson.com,https://allsportstucson.com/,
American Platform Tennis Association,https://old.platformtennis.org/site3.aspx,,AZ,Racquet / Tennis Club,pickleball; tennis,Indoor,,,,,,,,,,,,,,platformtennis.org,Confirmed Indoor,Indoor court language found on site. AZ location evidence: zip. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://old.platformtennis.org/site3.aspx | https://old.platformtennis.org/Page2627.aspx | https://old.platformtennis.org/Page101.aspx | https://old.platformtennis.org/Page160.aspx | https://old.platformtennis.org/Page341.aspx | https://old.platformtennis.org/Page98.aspx | https://old.platformtennis.org/Page1064.aspx,Playwright,https://old.platformtennis.org,https://old.platformtennis.org/site3.aspx,
Anderson Auto Group Fieldhouse,https://www.andersonautogroupfieldhouse.com/,,AZ,Fieldhouse,basketball; volleyball,Indoor,8,"n the turf is covered with our state of the art turf cover flooring, we can install up to 8 basketball courts or 16 volleyball courts. In addition to large sporting events the facility can be transfo",,,,,,,,,,,,andersonautogroupfieldhouse.com,Confirmed Indoor,Indoor court language found on site. AZ location evidence: phone. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.andersonautogroupfieldhouse.com/ | https://www.andersonautogroupfieldhouse.com/o/aagf/page/about-venue | https://www.andersonautogroupfieldhouse.com/o/aagf/page/field-rental | https://www.andersonautogroupfieldhouse.com/o/aagf/page/meeting-room-rental | https://www.andersonautogroupfieldhouse.com/staff,Playwright,https://andersonautogroupfieldhouse.com,https://www.andersonautogroupfieldhouse.com/,
Apache Junction Youth Sports,https://ajyouthsports.com/,Apache Junction,AZ,School,basketball; volleyball,Indoor,,,,,,apachejunction@azyouthsports.com,info@ajyouthsports.com,,,,,,,azyouthsports.com,Confirmed Indoor,Indoor court language found on site. AZ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://ajyouthsports.com/ | https://ajyouthsports.com/contact-us/ | https://ajyouthsports.com/spring-season/,Playwright,https://ajyouthsports.com,https://ajyouthsports.com/,
Arizona Country Club,https://www.azcountryclub.com/,Phoenix,AZ,Country Club,pickleball; tennis; basketball,Indoor,7,"Games Foosball, Ping Pong, Air Hockey, Golden Tee and More for the kids 5 and up! Tennis Seven Courts (All lighted) Four Pickleball (All Lighted) Full Service Pro Shop Private Lessons Dining",,,,,info@arizonacc.com,,,,,,,arizonacc.com,Confirmed Indoor,Indoor court language found on site. AZ location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.azcountryclub.com/ | https://www.azcountryclub.com/About_Us | https://www.azcountryclub.com/About_Us/Club_Tour,Playwright,https://azcountryclub.com,https://www.azcountryclub.com/,
Arizona Golf,https://arizonagolfer.com/,Tucson,AZ,Private Club,tennis,Indoor,,,,,,,,,,,,,,arizonagolfer.com,Confirmed Indoor,Indoor court language found on site. AZ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://arizonagolfer.com/ | https://www.arizonagolfer.com/golfcourses/ | https://www.arizonagolfer.com/golfcourses/golfresorts.cfm | https://www.arizonagolfer.com/facilities/ | https://www.arizonagolfer.com/golfmemberships/ | https://www.arizonagolfer.com/contact/ | https://www.arizonagolfer.com/about/,Playwright,https://arizonagolfer.com,https://arizonagolfer.com/,
Arizona Soccer Skills Academy,https://azsoccerskills.com/,Gilbert,AZ,School,futsal,Indoor,,,,,,help@azsoccerskills.com,,,,,,,,azsoccerskills.com,Confirmed Indoor,Indoor court language found on site. AZ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://azsoccerskills.com/ | https://azsoccerskills.com/about-us/ | https://azsoccerskills.com/join-our-team/ | https://azsoccerskills.com/category/youth-soccer-player-development/,Playwright,https://azsoccerskills.com,https://azsoccerskills.com/,
