Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Square Footage,Square Footage Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Phone,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
- Dellbrook,https://www.dellbrook.com/,Quincy,MA,Fieldhouse,tennis; basketball; volleyball,Indoor,,,47700,"oad East Falmouth, MA 02536 (508) 540-6226 Kraft Fieldhouse & Arena - Dellbrook | JKS The 47,700sf fieldhouse includes varsity level basketball court, practice courts, tennis courts, volle",,,,(781) 380-1675,warranty@dellbrookjks.com,info@dellbrook.com,,,,,,,dellbrookjks.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.dellbrook.com/,Playwright,https://dellbrookjks.com,https://www.dellbrook.com/,
2023 ARCHITECTURE FIRM OF THE YEAR,https://www.maugel.com/,Harvard,MA,Unknown,tennis,Indoor,,,,,,,,(978) 456-2800,,,,,,,,,maugel.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.maugel.com/ | https://www.maugel.com/about | https://www.maugel.com/contact,Playwright,https://maugel.com,https://www.maugel.com/,
3STEP Sports,https://threestep.com/,Dartmouth,MA,College / University,basketball; volleyball,Indoor,,,,,GREG,WALDBAUM,President,(781) 722-0338,,,greg@threestep.com,greg.waldbaum@threestep.com,gregwaldbaum@threestep.com,gwaldbaum@threestep.com,g.waldbaum@threestep.com,gregw@threestep.com,threestep.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://threestep.com/ | https://threestep.com/facilities/ | https://threestep.com/about-us/ | https://threestep.com/playerfirst/,Playwright,https://threestep.com,https://threestep.com/,
About -- Fieldhouse Mansfield,https://www.fieldhousemansfield.com/page/about,Mansfield,MA,Fieldhouse,basketball; volleyball,Indoor,,,70000,"ATHLETES Fieldhouse Mansfield is a premier sports facility located in Mansfield, MA. Our 70,000 sq. ft complex boasts four regulation sized hardwood basketball courts that can also accommodate",,,,,,info@fieldhousemansfield.com,,,,,,,fieldhousemansfield.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.fieldhousemansfield.com/page/about,Playwright,https://fieldhousemansfield.com,https://www.fieldhousemansfield.com/page/about,
About -- Fieldhouse Sudbury,https://www.fieldhousesudbury.com/page/about,Sudbury,MA,Fieldhouse,basketball; volleyball,Indoor,,,,,,,,,,info@fieldhousesudbury.com,,,,,,,fieldhousesudbury.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.fieldhousesudbury.com/page/about,Playwright,https://fieldhousesudbury.com,https://www.fieldhousesudbury.com/page/about,
ABOUT US - Universal Basketball Training,https://www.universalbasketballtraining.com/,South Hadley,MA,College / University,basketball,Indoor,,,,,,,,,,,,,,,,,universalbasketballtraining.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.universalbasketballtraining.com/ | https://www.universalbasketballtraining.com/about-us,Playwright,https://universalbasketballtraining.com,https://www.universalbasketballtraining.com/,
Above the Rim Training,https://abovetherimtraining.net/,Clinton,MA,College / University,basketball,Indoor,,,,,,,,(978) 320-7200,albert@abovetherimtraining.net,info@abovetherimtraining.net,,,,,,,abovetherimtraining.net,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://abovetherimtraining.net/,Playwright,https://abovetherimtraining.net,https://abovetherimtraining.net/,
Acton Tennis Bubble,https://www.actontennisbubble.com/,Acton,MA,Racquet / Tennis Club,tennis,Indoor,,,,,,,,(978) 263-9059,actonindoortennis@gmail.com,,,,,,,,actontennisbubble.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.actontennisbubble.com/ | https://www.actontennisbubble.com/about | https://www.actontennisbubble.com/contact,Playwright,https://actontennisbubble.com,https://www.actontennisbubble.com/,
Advantage Soccer School,https://www.advantagesoccerschool.com/,Plymouth,MA,College / University,futsal,Indoor,,,,,,,,(508) 245-2405,advantagesoccerschool@gmail.com,,,,,,,,advantagesoccerschool.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.advantagesoccerschool.com/,Playwright,https://advantagesoccerschool.com,https://www.advantagesoccerschool.com/,
All Sports Center,https://allsportscenterma.com/,North Reading,MA,Indoor Sports Complex,pickleball; basketball,Indoor,,,3200,"EXPERIENCE TOP-NOTCH AMENITIES DESIGNED FOR ATHLETES OF ALL LEVELS. THE DETAILS BUILDING 3,200 sq ft facility / 2,800 sq ft of turf 22 foot clear ceilings Climate controlled Sound system Day",,,,(781) 315-7172,,,,,,,,,allsportscenterma.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://allsportscenterma.com/ | https://allsportscenterma.com/facility/ | https://allsportscenterma.com/contact/,Playwright,https://allsportscenterma.com,https://allsportscenterma.com/,
American Platform Tennis Association,https://old.platformtennis.org/site3.aspx,,MA,Racquet / Tennis Club,pickleball; tennis,Indoor,,,,,,,,(888) 744-9490,,,,,,,,,platformtennis.org,Confirmed Indoor,Indoor court language found on site. MA location evidence: zip. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://old.platformtennis.org/site3.aspx | https://old.platformtennis.org/Page2627.aspx | https://old.platformtennis.org/Page101.aspx | https://old.platformtennis.org/Page160.aspx | https://old.platformtennis.org/Page341.aspx | https://old.platformtennis.org/Page98.aspx | https://old.platformtennis.org/Page1064.aspx,Playwright,https://old.platformtennis.org,https://old.platformtennis.org/site3.aspx,
Andover Knights of Columbus,https://kofc1078.com/,Andover,MA,Country Club,basketball,Indoor,,,,,Andrew,Szendey,Membership Director,,,,andrew@kofc1078.com,andrew.szendey@kofc1078.com,andrewszendey@kofc1078.com,aszendey@kofc1078.com,a.szendey@kofc1078.com,andrews@kofc1078.com,kofc1078.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://kofc1078.com/ | https://kofc1078.com/about-council1078/ | https://kofc1078.com/about-the-knights/ | https://kofc1078.com/membership/ | https://kofc1078.com/our-facility/ | https://kofc1078.com/building-management/ | http://kofc1078.com/about-council1078/,Playwright,https://kofc1078.com,https://kofc1078.com/,
ARC,https://www.arcusa.com/,Boston,MA,Fieldhouse,tennis; basketball; volleyball; squash,Indoor,,,18000,"Project Bostwick Family Squash Center at Middlebury College Location Middlebury, VT Size 18,000 SF Awards 2014 Citation Award for Excellence in Architecture Design, American Institute of A",,,,(617) 547-2200,,,,,,,,,arcusa.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.arcusa.com/ | https://www.arcusa.com/practice/athletics-wellness | https://www.arcusa.com/people | https://www.arcusa.com/spaces/bostwick-family-squash-center-middlebury-college | https://www.arcusa.com/contact,Playwright,https://arcusa.com,https://www.arcusa.com/,
Arlington Recreation: Online Registration by MyRec.com Recreation Management Software,https://arlingtonma.myrec.com/info/,Arlington,MA,School,pickleball; tennis; basketball; volleyball; badminton; futsal,Indoor,,,,,,,,(781) 316-3880,,,,,,,,,arlingtonma.myrec.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://arlingtonma.myrec.com/info/ | https://arlingtonma.myrec.com/info/activities/default.aspx | https://arlingtonma.myrec.com/info/facilities/default.aspx | https://arlingtonma.myrec.com/info/contact/default.aspx | https://arlingtonma.myrec.com/info/news/default.aspx | https://arlingtonma.myrec.com/info/dept/default.aspx,Playwright,https://arlingtonma.myrec.com,https://arlingtonma.myrec.com/info/,
ASA Hoops,https://asahoops.com/,Newton,MA,School,tennis; basketball; racquetball,Indoor,3,"rdered by 5 ... The north field house includes a hockey rink or, when the ice is removed, three tennis courts or indoor practice space for field sports. The second floor of ... Within it is the Fitzg",,,,,,,,,,,,,,,asahoops.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://asahoops.com/ | https://asahoops.com/about-us/ | https://asahoops.com/about-us/gyms/ | https://asahoops.com/about-us/our-coaches/ | https://asahoops.com/about-us/player-spotlight/ | https://asahoops.com/about-us/testimonials/ | https://asahoops.com/home/memberships/,Playwright,https://asahoops.com,https://asahoops.com/,
"Ascension Memorial Church, Ipswich",https://www.amcipswich.org/,Ipswich,MA,Country Club,basketball,Indoor,,,,,,,,(978) 356-2560,,,,,,,,,amcipswich.org,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.amcipswich.org/ | https://www.amcipswich.org/about-ascension | https://www.amcipswich.org/the-staff | https://www.amcipswich.org/facility-rentals | https://www.amcipswich.org/introduction-to-worship | https://www.amcipswich.org/music-at-ascension,Playwright,https://amcipswich.org,https://www.amcipswich.org/,
Assumption University,https://assumptiongreyhounds.com/,Worcester,MA,College / University,tennis; basketball; volleyball,Indoor,,,,,,,,(508) 767-7240,,,,,,,,,assumptiongreyhounds.com,Confirmed Indoor,Indoor court language found on site. MA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://assumptiongreyhounds.com/ | https://assumptiongreyhounds.com/sports/2022/4/12/athletics-SPORTS-INFO-PAGE-index.aspx | https://assumptiongreyhounds.com/staff-directory | https://assumptiongreyhounds.com/sports/2022/4/12/athletics-compliance-index.aspx | https://assumptiongreyhounds.com/sports/2022/4/12/athletics-asm-directions.aspx | https://assumptiongreyhounds.com/Facilities/ | https://assumptiongreyhounds.com/sports/2022/4/12/athletics-hall-of-fame-index.aspx,Playwright,https://assumptiongreyhounds.com,https://assumptiongreyhounds.com/,
Athletics,https://athletics.brimmer.org/,,MA,School,tennis; basketball; volleyball,Indoor,,,,,Tom,Nelson,Athletic Director,(617) 566-7462,,,tom@athletics.brimmer.org,tom.nelson@athletics.brimmer.org,tomnelson@athletics.brimmer.org,tnelson@athletics.brimmer.org,t.nelson@athletics.brimmer.org,tomn@athletics.brimmer.org,athletics.brimmer.org,Confirmed Indoor,Indoor court language found on site. MA location evidence: phone. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://athletics.brimmer.org/ | https://athletics.brimmer.org/staff | https://athletics.brimmer.org/facilities | https://athletics.brimmer.org/45-grade-program | https://athletics.brimmer.org/all-events | https://athletics.brimmer.org/athletics-strategic-plan,Playwright,https://athletics.brimmer.org,https://athletics.brimmer.org/,
