Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Square Footage,Square Footage Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Phone,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
AAU Basketball,https://www.stacknj.com/,Mahwah,NJ,College / University,pickleball; basketball; volleyball,Indoor,3,"Basketball is located in Mahwah, NJ, and is a 15,000 square foot basketball facility with 3 courts. We are a very busy facility but do have slots for rentals for numerous activities that c",15000,"l coach@stacknj.com for availability. STACK Basketball is located in Mahwah, NJ, and is a 15,000 square foot basketball facility with 3 courts. We are a very busy facility but do have slots for rent",,,,(201) 684-9190,coach@stacknj.com,,,,,,,,stacknj.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.stacknj.com/ | https://www.stacknj.com/aau-basketball/season-programs/ | https://www.stacknj.com/girls-aau-program/ | https://www.stacknj.com/the-best-aau-basketball-program/ | https://www.stacknj.com/open-gym-membership/ | https://www.stacknj.com/basketball-volleyball-court-rental/ | https://www.stacknj.com/coaching-staff/,Playwright,https://stacknj.com,https://www.stacknj.com/,
Amigos Sports,https://www.amigos-sport.com/,,NJ,Unknown,volleyball,Indoor,,,,,,,,,arivera9311@gmail.com,info@amigos-sport.com,,,,,,,amigos-sport.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.amigos-sport.com/ | https://www.amigos-sport.com/about | https://www.amigos-sport.com/contact,Playwright,https://amigos-sport.com,https://www.amigos-sport.com/,
Atlantic Fieldhouse,https://www.atlanticfieldhouse.com/,,NJ,Fieldhouse,volleyball,Indoor,,,,,,,,(609) 788-0106,,info@atlanticfieldhouse.com,,,,,,,atlanticfieldhouse.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.atlanticfieldhouse.com/ | https://www.atlanticfieldhouse.com/turf-field-rentals | https://www.atlanticfieldhouse.com/about-us,Playwright,https://atlanticfieldhouse.com,https://www.atlanticfieldhouse.com/,
Basketball Shooting Machine,https://www.drdishbasketball.com/,Freehold,NJ,College / University,basketball,Indoor,,,,,,,,(952) 873-2633,,info@drdishbasketball.com,,,,,,,drdishbasketball.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.drdishbasketball.com/ | https://www.drdishbasketball.com/upgrade | https://www.drdishbasketball.com/home/membership | https://www.drdishbasketball.com/facilities | https://www.drdishbasketball.com/facilities/products/fclty | https://www.drdishbasketball.com/facilities/products/fclty1 | https://www.drdishbasketball.com/facilities/featured,Playwright,https://drdishbasketball.com,https://www.drdishbasketball.com/,
BasketBallCityNYC,https://basketballcity.com/,,NJ,School,pickleball; basketball,Indoor,,,,,,,,(212) 233-5050,,info@basketballcity.com,,,,,,,basketballcity.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://basketballcity.com/ | https://basketballcity.com/youth-league/ | https://basketballcity.com/youth-league/youth-development-program/ | https://basketballcity.com/about-us/ | https://basketballcity.com/court-rentals/ | https://basketballcity.com/contact/,Playwright,https://basketballcity.com,https://basketballcity.com/,
Bergen Volleyball Club,https://bergenvolleyball.com/,Waldwick,NJ,School,volleyball,Indoor,,,,,,,,(551) 363-0063,,,,,,,,,bergenvolleyball.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://bergenvolleyball.com/ | https://bergenvolleyball.com/volleyball-academy/ | https://bergenvolleyball.com/volleyball-academy-program/ | https://bergenvolleyball.com/open-programs-for-registration/ | https://bergenvolleyball.com/contact/,Playwright,https://bergenvolleyball.com,https://bergenvolleyball.com/,
Bethany Community Center,https://www.bethanycommunitycenter.com/,Washington,NJ,School,pickleball; basketball; volleyball,Indoor,3,"more Indoor Track Access Certified Instructors Get Started View Class Schedule Pickleball 3 courts, open play & reservations $24.99/mo All Levels Open Play (Court 1) Advanced Open Play (Co",,,,,,,davidr@bethanycommunitycenter.com,info@bethanycommunitycenter.com,,,,,,,bethanycommunitycenter.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.bethanycommunitycenter.com/ | https://www.bethanycommunitycenter.com/memberships | https://www.bethanycommunitycenter.com/rentals,Playwright,https://bethanycommunitycenter.com,https://www.bethanycommunitycenter.com/,
Branchburg Sports Complex,https://branchburgsports.com/,Branchburg,NJ,School,tennis; basketball; volleyball,Indoor,4,"Sports Complex is a state-of-the-art, indoor recreation center that offers 7 turf fields, 4 basketball courts, a four-floor laser tag arena, an action-packed arcade with redemption center, and a mult",,,,,,(908) 203-1600,sports@branchburgsports.com,,,,,,,,branchburgsports.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://branchburgsports.com/ | https://branchburgsports.com/contact-us/ | https://branchburgsports.com/bsc-sports-programs/ | https://branchburgsports.com/bsc-sports-programs/soccer-classes-nj/ | https://branchburgsports.com/bsc-sports-programs/soccer-classes-nj/lil-kickers-soccer/ | https://branchburgsports.com/bsc-sports-programs/soccer-classes-nj/next-step-youth-soccer/ | https://branchburgsports.com/bsc-sports-programs/youth-basketball-classes-nj/,Playwright,https://branchburgsports.com,https://branchburgsports.com/,
Brielle Sports Club,https://briellesportsclub.com/,Brielle,NJ,Health Club,basketball; volleyball,Indoor,,,,,,,,(732) 528-6777,,info@briellesportsclub.com,,,,,,,briellesportsclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://briellesportsclub.com/ | https://briellesportsclub.com/contact-us/ | https://briellesportsclub.com/court-schedule/,Playwright,https://briellesportsclub.com,https://briellesportsclub.com/,
Chatham Day School,https://chathamdayschool.org/,Chatham,NJ,School,basketball,Indoor,,,,,Mr.,Lesnewich,Athletic Director,(973) 410-0400,slesnewich@chathamdayschool.org,info@chathamdayschool.org,,,,,,,chathamdayschool.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://chathamdayschool.org/ | https://chathamdayschool.org/about/ | https://chathamdayschool.org/signature-programs/ | https://chathamdayschool.org/auxiliary-programs/ | https://chathamdayschool.org/dining-program/ | https://chathamdayschool.org/about/our-people/,Playwright,https://chathamdayschool.org,https://chathamdayschool.org/,
