Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
Adaptive Arena,https://adaptivearena.org/,Bluffdale,UT,School,pickleball; basketball; volleyball,Indoor,,,Ashley,Guymon,CEO,ashley@adaptivearena.org,info@adaptivearena.org,,,,,,,adaptivearena.org,Confirmed Indoor,Indoor court language found on site. UT location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://adaptivearena.org/ | https://adaptivearena.org/contact-us/ | https://adaptivearena.org/about/ | https://adaptivearena.org/facility-rentals/,Playwright,https://adaptivearena.org,https://adaptivearena.org/,
Advantage Tennis Clubs,https://advantagetennisclubs.com/,,UT,Racquet / Tennis Club,tennis,Indoor,36,"ur child’s age, size, and experience! Prev Red 1 Age: 4-5 Level: Beginners Ball: Foam/Red Court: 36’x18’ Racquet: Up to 21″ Learning Objectives: Students learn hand-eye coordination and rac",,,,,play@advantagetennisclubs.com,,,,,,,advantagetennisclubs.com,Confirmed Indoor,Indoor court language found on site. UT location evidence: mention. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://advantagetennisclubs.com/ | https://advantagetennisclubs.com/adult-programs-overview | https://advantagetennisclubs.com/adult-programs | https://advantagetennisclubs.com/junior-programs-overview | https://advantagetennisclubs.com/junior-programs | https://advantagetennisclubs.com/camps-overview,Playwright,https://advantagetennisclubs.com,https://advantagetennisclubs.com/,
Allied Products | Athletic Sports Flooring | Commercial Rubber Flooring | Racquetball Court Construction | Squash Courts,https://alliedproductsllc.com/,,UT,Racquet / Tennis Club,pickleball; tennis; basketball; volleyball; badminton; squash; racquetball; handball,Indoor,,,John,Gearhart,Manager,,,john@alliedproductsllc.com,john.gearhart@alliedproductsllc.com,johngearhart@alliedproductsllc.com,jgearhart@alliedproductsllc.com,j.gearhart@alliedproductsllc.com,johng@alliedproductsllc.com,alliedproductsllc.com,Confirmed Indoor,Indoor court language found on site. UT location evidence: mention. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://alliedproductsllc.com/ | https://alliedproductsllc.com/about/ | https://alliedproductsllc.com/racquetball-court-construction/ | https://alliedproductsllc.com/squash-court-construction/ | https://alliedproductsllc.com/racquetball-court-construction/pickleball-court/ | https://alliedproductsllc.com/led-court-lights/,Playwright,https://alliedproductsllc.com,https://alliedproductsllc.com/,
Alpha Basketball Academy,https://www.alphaballacademy.com/,Orem,UT,School,basketball,Indoor,,,ALEX,CELEDON,Founder,,,alex@alphaballacademy.com,alex.celedon@alphaballacademy.com,alexceledon@alphaballacademy.com,aceledon@alphaballacademy.com,a.celedon@alphaballacademy.com,alexc@alphaballacademy.com,alphaballacademy.com,Confirmed Indoor,Indoor court language found on site. UT location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.alphaballacademy.com/ | https://www.alphaballacademy.com/meettheteam | https://www.alphaballacademy.com/about | https://www.alphaballacademy.com/contact | https://www.alphaballacademy.com/abafacility | https://www.alphaballacademy.com/book-our-facility,Playwright,https://alphaballacademy.com,https://www.alphaballacademy.com/,
Basketball Shooting Machine,https://www.drdishbasketball.com/,Woods Cross,UT,College / University,basketball,Indoor,,,,,,,info@drdishbasketball.com,,,,,,,drdishbasketball.com,Confirmed Indoor,Indoor court language found on site. UT location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.drdishbasketball.com/ | https://www.drdishbasketball.com/upgrade | https://www.drdishbasketball.com/home/membership | https://www.drdishbasketball.com/facilities | https://www.drdishbasketball.com/facilities/products/fclty | https://www.drdishbasketball.com/facilities/products/fclty1 | https://www.drdishbasketball.com/facilities/featured,Playwright,https://drdishbasketball.com,https://www.drdishbasketball.com/,
Beach Elite,https://www.beach-elite.com/,Lehi,UT,School,volleyball,Indoor,,,,,,,,,,,,,,beach-elite.com,Confirmed Indoor,Indoor court language found on site. UT location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.beach-elite.com/ | https://www.beach-elite.com/coachingstaff | https://www.beach-elite.com/contact-us | https://www.beach-elite.com/whoweare,Playwright,https://beach-elite.com,https://www.beach-elite.com/,
Beach House,https://www.beachhouseut.com/,,UT,Unknown,volleyball,Indoor,4,"als Rent a court To play with your friends or family. ($60 for 2 hrs) Rent the Venue (all 4 courts) Great for birthday parties, team building activities, church events, and more. ($350 for",,,,beachhouseut@gmail.com,,,,,,,,beachhouseut.com,Confirmed Indoor,Indoor court language found on site. UT location evidence: phone. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.beachhouseut.com/ | https://www.beachhouseut.com/programdetails,Playwright,https://beachhouseut.com,https://www.beachhouseut.com/,
Beehive Sport and Social Club,https://www.beehivesports.com/,Salt Lake City,UT,College / University,pickleball; basketball; volleyball; futsal,Indoor,,,,,,,,,,,,,,beehivesports.com,Confirmed Indoor,Indoor court language found on site. UT location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.beehivesports.com/ | https://www.beehivesports.com/page/About | https://www.beehivesports.com/page/staffbio | https://www.beehivesports.com/page/Contact | https://www.beehivesports.com/page/Staff,Playwright,https://beehivesports.com,https://www.beehivesports.com/,
Burton Basketball Academy,https://www.burtonbasketballacademy.com/,Pleasant View,UT,School,basketball; volleyball; futsal,Indoor,,,MARK,BURTON,Owner,,,mark@burtonbasketballacademy.com,mark.burton@burtonbasketballacademy.com,markburton@burtonbasketballacademy.com,mburton@burtonbasketballacademy.com,m.burton@burtonbasketballacademy.com,markb@burtonbasketballacademy.com,burtonbasketballacademy.com,Confirmed Indoor,Indoor court language found on site. UT location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.burtonbasketballacademy.com/ | https://www.burtonbasketballacademy.com/about | https://www.burtonbasketballacademy.com/contact,Playwright,https://burtonbasketballacademy.com,https://www.burtonbasketballacademy.com/,
Canyons Facility Rentals,https://rentals.canyonsdistrict.org/home,,UT,School,tennis,Indoor,,,,,,robynn.lefler@canyonsdistrict.org,,,,,,,,canyonsdistrict.org,Confirmed Indoor,Indoor court language found on site. UT location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://rentals.canyonsdistrict.org/home | https://rentals.canyonsdistrict.org/page/rentalguidelines,Playwright,https://rentals.canyonsdistrict.org,https://rentals.canyonsdistrict.org/home,
